航班号,机号,出发地,计划到达,到达时间,状态,落地跑道,停机位,机型
MU5532,B6925,福州,8:05:00,7:40,到达,36R,246,A321
9C8946,B323H,西安,7:55:00,7:43,到达,36R,115,A321
CZ3568,B8363,深圳,8:50:00,8:08,到达,36R,238E,A330
9C7368,B30D5,揭阳,8:50:00,8:10,到达,36R,114,A320
MU5578,B6591,济南,8:30:00,8:14,到达,36R,265,A321
MF8501,B5632,厦门,8:50:00,8:19,到达,36R,121,B737
MU5422,B6009,重庆,8:55:00,8:20,到达,36R,262,A320
SC7615,B5627,烟台,9:00:00,8:31,到达,36R,231,B737
HD1854,B1003,广州,8:55:00,8:33,到达,36R,232,A321
MU2406,B1318,太原,8:55:00,8:37,到达,36R,213,B737
MU5138,B8172,北京大兴,9:15:00,8:39,到达,36R,264,A321
MU2239,B659Z,西安,8:35:00,8:41,到达,36R,274,C919
MU5516,B8978,青岛,9:05:00,8:44,到达,36R,263,B737
SC4661,B7086,青岛,9:10:00,8:47,到达,36R,233,B737
CZ3533,B20CA,广州,9:20:00,8:52,到达,36R,261,B737
9C8930,B324Y,广州,9:10:00,8:54,到达,36R,340,A321
9C8956,B326Q,深圳,9:35:00,9:01,到达,36R,341,A321
KH5737,B7372,佛山,9:50:00,9:12,到达,36R,270,B737
MU5426,B6560,重庆,9:35:00,9:14,到达,36R,236,A320
CA1507,B8577,北京首都,10:00:00,9:18,到达,36R,229,A330
CA2825,B5227,天津,9:45:00,9:20,到达,36R,234,B737
OZ3615,HL7790,首尔,9:45:00,9:23,到达,36R,112,A330
SC2293,B5650,珠海,9:55:00,9:24,到达,36R,235,B737
HD1890,B1006,深圳,9:50:00,9:26,到达,36R,225,A321
MF8577,B5659,泉州,9:50:00,9:28,到达,36R,126,B737
MU5276,B6432,银川,9:55:00,9:30,到达,36R,269,A319
SC1165,B1273,济南,9:40:00,9:32,到达,36R,228,B737
H01236,B8955,西安,9:45:00,9:34,到达,36R,222,A321
HU7131,B6133,广州,10:10:00,9:36,到达,36R,237,A330
HU7601,B20AL,北京首都,10:00:00,9:38,到达,36R,256,B787
CZ8899,B30EW,北京大兴,10:10:00,9:40,到达,36R,273,A321
FM9324,B5722,郑州,10:15:00,9:42,到达,36R,275,B737
NS3219,B5790,石家庄,10:00:00,9:44,到达,36R,115,B737
CZ3965,B5940,深圳,10:25:00,9:46,到达,36R,267,A330
MU2501,B205R,武汉,10:05:00,9:48,到达,36R,271,B737
MU5102,B6507,北京首都,10:20:00,9:51,到达,36R,257,A330
GS7883,B32CL,天津,10:15:00,9:54,到达,36R,227,A320
MU6873,B32DZ,北京大兴,10:15:00,9:56,到达,36R,266,A320
CZ3523,B209E,广州,10:20:00,9:58,到达,36R,259E,B787
CA4543,B1368,重庆,10:30:00,9:59,到达,36R,260,B787
MF8541,B5277,福州,10:30:00,10:07,到达,36R,120,B737
MU5152,B32KC,北京首都,10:45:00,10:10,到达,36R,221,A321
MU2408,B1319,太原,10:40:00,10:14,到达,36R,263,A321
MU5402,B1837,成都双流,10:40:00,10:17,到达,36R,231,A321
MU5302,B6506,广州,10:45:00,10:18,到达,36R,240E,A330
MU5583,B8568,烟台,10:45:00,10:21,到达,36R,262,A321
MF8511,B5278,厦门,11:00:00,10:24,到达,36R,114,B737
FM9266,B5610,福州,11:00:00,10:32,到达,36R,232,B737
MU5801,B1383,昆明,10:55:00,10:34,到达,36R,272,B737
